0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:24:49 +0900] "GET /a_mybatis_board07/board/list HTTP/1.1" 200 4916
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:24:49 +0900] "GET /a_mybatis_board07/resources/js/list.js HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:24:51 +0900] "GET /a_mybatis_board07/board/2 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:24:53 +0900] "GET /a_mybatis_board07/board/list HTTP/1.1" 200 4916
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:24:56 +0900] "GET /a_mybatis_board07/board/list HTTP/1.1" 200 4916
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:24:56 +0900] "GET /a_mybatis_board07/resources/js/list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:24:59 +0900] "GET /a_mybatis_board07/board/list/notice HTTP/1.1" 200 4866
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:25:00 +0900] "GET /a_mybatis_board07/board/list/notice HTTP/1.1" 200 4866
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:25:01 +0900] "GET /a_mybatis_board07/board/list/2 HTTP/1.1" 200 1783
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:25:02 +0900] "GET /a_mybatis_board07/board/list/notice HTTP/1.1" 200 4866
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:25:03 +0900] "GET /a_mybatis_board07/board/list/3 HTTP/1.1" 200 1783
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:25:03 +0900] "GET /a_mybatis_board07/resources/js/list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:25:06 +0900] "GET /a_mybatis_board07/board/list HTTP/1.1" 200 4916
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:25:07 +0900] "GET /a_mybatis_board07/board/6 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:25:23 +0900] "GET /a_mybatis_board07/board/11 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:26:35 +0900] "GET /a_mybatis_board07/board/list HTTP/1.1" 200 4916
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:26:35 +0900] "GET /a_mybatis_board07/resources/js/list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:26:35 +0900] "GET /a_mybatis_board07/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:26:36 +0900] "GET /a_mybatis_board07/board/2 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:26:57 +0900] "GET /a_mybatis_board07/board/list2 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:27:00 +0900] "GET /a_mybatis_board07/board/list HTTP/1.1" 200 4916
